Year,ER,BIR,UIR,WIR,BIvU,BIvW,ReIRB,ReIRU,RIRBvU,GDP_B,GDP_W,GBvW,BOP
1987,30.94983333,9.87,3.66,5.76,6.21,4.11,3.353217679,5.592237906,-2.239020227,3.772401853,3.731511048,0.040890805,-2.371160093
1988,31.7332486,7.41,4.08,7.15,3.33,0.26,6.837361623,5.590382201,1.246979422,2.416256856,4.640171491,-2.223914635,-2.728365969
1989,32.27,6.05,4.83,7,1.22,-0.95,6.006888297,6.690686925,-0.683798628,2.836582129,3.753604575,-0.917022446,-10.99566161
1990,34.56880833,6.13,5.4,8.13,0.73,-2,7.803215576,6.039749199,1.763466376,5.622258162,2.868151785,2.754106377,-3.979095766
1991,36.59618333,6.36,4.23,9,2.13,-2.64,11.71898735,4.915346478,6.803640874,3.485227815,1.460283526,2.024944289,0.645932333
1992,38.95075833,3.63,3.03,7.71,0.6,-4.08,11.05035713,3.884238043,7.166119089,5.442685551,2.070091288,3.372594263,1.807909604
1993,39.5672575,3.01,2.95,7.51,0.06,-4.5,13.74096927,3.545617239,10.19535203,4.711561724,1.808187434,2.903374291,3.592636377
1994,40.21173917,5.31,2.61,10.32,2.7,-5.01,9.125764687,4.898309951,4.227454736,3.890126441,3.306544243,0.583582198,1.995688215
1995,40.27831833,10.3,2.81,9.15,7.49,1.15,5.455284559,6.59399638,-1.138711821,5.121277897,3.090843001,2.030434897,-8.238801966
1996,41.79416833,2.38,2.93,6.55,-0.55,-4.17,-5.16455193,6.324073707,-11.48862564,4.522919218,3.620741052,0.902178166,-9.91418975
1997,43.89211583,5.31,2.34,5.57,2.97,-0.26,8.853321042,6.603364861,2.24995618,4.489896497,3.904655888,0.585240609,-2.863129532
1998,46.90565167,8.4,1.55,5.11,6.85,3.29,7.82564811,7.148178448,0.677469662,5.177026873,2.794290789,2.382736084,-0.351659893
1999,49.0854,6.11,2.19,3.08,3.92,3.03,8.978643048,6.493426418,2.485216629,4.670156368,3.523236263,1.146920105,-3.643553142
2000,52.14166667,2.21,3.38,3.49,-1.17,-1.28,8.998203237,6.813424288,2.18477895,5.293294718,4.487297166,0.805997553,-3.058316506
2001,55.80666667,2.01,2.83,3.84,-0.82,-1.83,9.256955719,4.565847929,4.69110779,5.077287776,1.99684326,3.080444516,-5.354247277
2002,57.888,3.33,1.59,2.83,1.74,0.5,8.389699358,3.068642849,5.321056509,3.83312394,2.328904921,1.504219019,7.39250272
2003,58.15004,5.67,2.27,3.03,3.4,2.64,5.88445428,2.107310811,3.777143469,4.739567399,3.150846537,1.588720863,1.31637632
2004,59.51265833,7.59,2.68,3.38,4.91,4.21,5.582355611,1.612310954,3.970044657,5.23953291,4.493562174,0.745970737,-2.786793837
2005,64.327475,7.05,3.39,4.11,3.66,2.94,5.764269121,2.96050633,2.803762791,6.535944941,4.043142251,2.49280269,-1.73741536
2006,68.93323333,6.77,3.23,4.28,3.54,2.49,5.466993804,4.726089653,0.740904152,6.671904981,4.476227986,2.195676995,11.96063083
2007,68.874875,9.11,2.85,4.82,6.26,4.29,5.789111438,5.206759376,0.582352063,7.058599357,4.477407141,2.581192215,8.56792635
2008,68.598275,8.9,3.84,8.95,5.06,-0.05,4.661742572,3.109920825,1.551821747,6.013789759,2.066395257,3.947394502,9.261854386
2009,69.03906667,5.42,-0.36,2.94,5.78,2.48,6.146538327,2.592428971,3.554109356,5.045124794,-1.325831914,6.370956708,35.56126394
2010,69.64929167,8.13,1.64,3.35,6.49,4.78,4.736123572,2.023885488,2.712238084,5.571788188,4.532279195,1.039508993,21.08502537
2011,74.1524,11.4,3.16,4.82,8.24,6.58,5.064197684,1.148425191,3.915772493,6.464379123,3.321024221,3.143354902,-1.618425387
2012,81.86265833,6.22,2.07,3.73,4.15,2.49,5.343332657,1.3540752,3.989257457,6.521458781,2.707161921,3.814296859,25.75500681
2013,78.103235,7.53,1.46,2.62,6.07,4.91,5.988693908,1.473254279,4.515439629,6.013605658,2.819838043,3.193767616,20.5847342
2014,77.64140833,6.99,1.62,2.35,5.37,4.64,6.885866275,1.354775792,5.531090483,6.061059359,3.055919871,3.005139488,7.557907617
2015,77.94690833,6.19,0.12,1.43,6.07,4.76,5.512644316,2.237075495,3.275568821,6.552639879,3.08105935,3.471580529,25.79621009
2016,78.46809167,5.51,1.26,1.55,4.25,3.96,-13.64213564,2.484530342,-16.12666598,7.113478213,2.798896114,4.3145821,9.31393868
2017,80.43754167,5.7,2.13,2.19,3.57,3.51,4.276539894,2.157869861,2.118670033,6.590249998,3.379489864,3.210760134,-59.84992476
2018,83.46620192,5.54,2.44,2.44,3.1,3.1,3.634303658,2.456470428,1.177833231,7.31941263,3.276646336,4.042766295,-70.95172568
2019,84.4535225,5.59,1.81,2.19,3.78,3.4,5.689563715,3.432388822,2.257174893,7.881915151,2.614882119,5.267033033,-29.48537075
2020,84.87139167,5.69,1.23,1.91,4.46,3.78,4.289186897,2.311078066,1.978108831,3.448021455,-3.271218833,6.719240288,11.92771686
2021,85.08376325,5.55,4.7,3.42,0.85,2.13,3.076215097,-0.869249215,3.945464312,6.938675089,5.802056757,1.136618332,-155.6323244
